2023-0914-11-1023,"",2023-09-14,11:30,Aldrich Janolino,Secretary of Hon. MABA,Proposed Ord. of Hon. Adriano on 24/7 convenience stores requiring guards,For Agenda,Forwarded to Secretariat,Prop.-Ord-by-MABA-Convenience-Store_000655.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-0919-11-1064,"",2023-09-19,11:09,Aldrich Janolino,Budget Office,Trail Balance SEF GF Aug. 2023,For Filing,Kept in Records,Trail Balance SEF GF aug. 2023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-0908-11-1003,"",2023-09-08,13:30,Aldrich Janolino,Budget Office,Karagdagang Badyet Blg. 01 2023 Brgy. V-B,For Agenda,Forwarded to Secretariat,Karagdagang Badyet Blg. 01 2023 Brgy. V-B.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
